from_step,to_step,count
Keysight_University_Course,Oscilloscope_Selector_Tool,308
Oscilloscope_Selector_Tool,Opportunity,293
Opportunity,Technical_Demo,293
Technical_Demo,IMS_Badge_Scan,272
IMS_Badge_Scan,No_Conversion,659
DesignCon_Booth_Visit,Application_Engineer_Call,288
Application_Engineer_Call,Whitepaper_Download_5G_Test,288
Whitepaper_Download_5G_Test,Oscilloscope_Selector_Tool,294
Oscilloscope_Selector_Tool,Whitepaper_Download_5G_Test,319
Whitepaper_Download_5G_Test,Whitepaper_Download_5G_Test,279
Whitepaper_Download_5G_Test,No_Conversion,685
PathWave_Trial_Request,Customer,651
Application_Engineer_Call,Oscilloscope_Selector_Tool,277
Oscilloscope_Selector_Tool,Customer,624
Lab_Integration_Discussion,PathWave_Trial_Request,292
PathWave_Trial_Request,SQL,295
SQL,Loaner_Unit_Evaluation,303
Loaner_Unit_Evaluation,Opportunity,287
Opportunity,No_Conversion,656
Application_Engineer_Call,PathWave_Trial_Request,301
PathWave_Trial_Request,IMS_Badge_Scan,287
IMS_Badge_Scan,LinkedIn_Ad_Click,294
LinkedIn_Ad_Click,DesignCon_Booth_Visit,261
DesignCon_Booth_Visit,SQL,272
SQL,Opportunity,326
Opportunity,AutoSens_Tech_Talk,287
AutoSens_Tech_Talk,DesignCon_Booth_Visit,307
DesignCon_Booth_Visit,Customer,640
Loaner_Unit_Evaluation,DesignCon_Booth_Visit,318
DesignCon_Booth_Visit,Keysight_Workshop_RF_Testing,299
Keysight_Workshop_RF_Testing,Website_Product_Page,299
Website_Product_Page,Technical_Demo,293
Technical_Demo,PathWave_Trial_Request,273
PathWave_Trial_Request,Oscilloscope_Selector_Tool,278
Loaner_Unit_Evaluation,Application_Engineer_Call,301
Application_Engineer_Call,No_Conversion,637
PathWave_Trial_Request,Application_Engineer_Call,279
Application_Engineer_Call,IMS_Badge_Scan,278
LinkedIn_Ad_Click,Oscilloscope_Selector_Tool,294
LinkedIn_Ad_Click,Technical_Demo,282
Technical_Demo,Oscilloscope_Selector_Tool,301
Oscilloscope_Selector_Tool,No_Conversion,672
Website_Product_Page,LinkedIn_Ad_Click,268
LinkedIn_Ad_Click,No_Conversion,657
Technical_Demo,Opportunity,272
Technical_Demo,Customer,669
Website_Product_Page,Keysight_University_Course,297
Keysight_University_Course,Application_Engineer_Call,276
AutoSens_Tech_Talk,Customer,649
Lab_Integration_Discussion,Whitepaper_Download_5G_Test,276
Whitepaper_Download_5G_Test,Technical_Demo,291
Technical_Demo,MQL,283
